name,description
"Background Check Completed","Required. Evaluation: Documentation."
"IS-100 - Intro to Incident Command System","Required. Evaluation: Documentation."
"ICS-200 - Basic Incident Command System for Initial Response","Required. Evaluation: Documentation."
"IS-700 - Introduction to National Incident Management System","Advised. Evaluation: Documentation."
"ICS-800 - National Response Framework, An Introduction","Advised. Evaluation: Documentation."
"SKYWARN Spotter Basic Training (Biennially)","Required. Evaluation: Documentation."
"ARRL Basic EmComm Course","Advised. Evaluation: Documentation."
"Routinely participate in County ARPSC meetings, nets, and events","Required. Evaluation: Observation."
"Meet membership requirement for the County ARPSC organization","Required. Evaluation: Documentation."
"Obtain Technician class or higher Amateur Radio License","Required. Evaluation: Documentation."
"Describe the difference between and importance and use of encode and decode tone(s)","Required. Evaluation: Observation/Interview."
"Program frequency, offset, and tone(s) into HT via front panel programming","Required. Evaluation: Observation."
"Compose and send a WinLink message to a standard email address and to a callsign through the WinLink CMS via telnet","Required. Evaluation: Observation."
"Compose and send a WinLink message to a standard email address and to a callsign via RF through an RMS (HF, VHF, or UHF)","Advised. Evaluation: Observation."
